beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price
2,1,840,sqft,8150,sqft,560067,495000
3,2,2020,sqft,8120,sqft,560019,950000
4,3,3610,sqft,8037,sqft,560002,2330000
4,3.5,2336,sqft,,,560039,1080000
2,1,1040,sqft,6103,sqft,560002,350000
1,1,620,sqft,,,560075,399000
1,1,728,sqft,,,560070,360000
3,2.5,1970,sqft,2109,sqft,560087,715000
4,3,2190,sqft,5350,sqft,560004,1490000
4,3,2120,sqft,7721,sqft,560098,920000
2,2,1415,sqft,6.4,acre,560059,449000
4,3.5,1835,sqft,1750,sqft,560067,1299950
2,4.5,1670,sqft,905,sqft,560027,1115000
3,3.5,2570,sqft,4094,sqft,560004,2000000
3,2,2060,sqft,3090,sqft,560027,700000
3,2.5,1740,sqft,1389,sqft,560002,1678000
5,3,2510,sqft,5130,sqft,560034,910000
2,2.5,1000,sqft,,,560050,660000
3,2,1516,sqft,5000,sqft,560061,1150000
3,1,940,sqft,4850,sqft,560029,500000
4,2,2440,sqft,4002,sqft,560041,1116000
5,4,2470,sqft,5000,sqft,560028,1005000
2,2,1288,sqft,5365,sqft,560056,755000
4,3.5,3240,sqft,4680,sqft,560087,1995000
2,2,693,sqft,,,560078,490000
3,2.5,1550,sqft,1391,sqft,560017,825000
4,2,2080,sqft,7740,sqft,560049,750000
4,3,1400,sqft,5000,sqft,560004,1000000
2,2.5,1159,sqft,5250,sqft,560018,885000
2,1.5,901,sqft,4800,sqft,560047,599000
4,3,2900,sqft,7500,sqft,560066,1175000
4,2.5,2052,sqft,0.38,acre,560027,865000
1,1,773,sqft,,,560070,685000
2,2,1040,sqft,,,560078,345000
2,2,2353,sqft,8750,sqft,560024,1160000
2,2,1212,sqft,,,562130,600000
5,2,2640,sqft,2950,sqft,560070,1000000
2,1,1090,sqft,4500,sqft,560069,580000
5,2.5,3960,sqft,7680,sqft,562149,1850000
4,1.5,3030,sqft,5400,sqft,562157,1500000
4,2.5,3080,sqft,9300,sqft,562149,650000
1,1,700,sqft,,,562157,405000
2,1.5,1276,sqft,0.54,acre,562157,885000
3,1,910,sqft,7242,sqft,562149,480000
5,3.5,4180,sqft,4080,sqft,562157,3000000
1,1,852,sqft,,,562157,430000
5,1.5,2830,sqft,4000,sqft,562130,766000
2,1,970,sqft,5130,sqft,562149,600000
3,2,1576,sqft,1238,sqft,562130,974999
1,1,667,sqft,,,562130,327500
3,2,1080,sqft,5750,sqft,560081,875000
2,5.5,2659,sqft,0.52,acre,560091,6250000
5,5,3623,sqft,8000,sqft,560089,1975000
4,3.5,2520,sqft,3821,sqft,560090,1765000
4,3.5,2720,sqft,3024,sqft,560073,1750000
2,2,968,sqft,656,sqft,560091,715000
2,2,839,sqft,,,560089,385000
2,3.5,2080,sqft,1412,sqft,560088,1495000
2,2,693,sqft,,,560089,480000
2,2.5,1365,sqft,4.05,acre,560091,525000
2,1,1580,sqft,0.52,acre,560073,500000
2,1,860,sqft,6678,sqft,560089,750000
2,2,1038,sqft,0.33,acre,560090,600000
4,3,2860,sqft,4182,sqft,560090,1600000
1,1,557,sqft,,,560062,370000
2,2,1644,sqft,,,560083,2250000
5,2,2340,sqft,5120,sqft,560068,613000
3,2.5,1810,sqft,1436,sqft,560076,1000000
2,1,2530,sqft,5000,sqft,560082,700000
3,3.5,1820,sqft,1099,sqft,560099,1125000
2,1,648,sqft,4997,sqft,560035,430000
2,2.5,1448,sqft,0.54,acre,560060,1325000
2,1,1660,sqft,0.28,acre,560083,535000
5,3,2970,sqft,5250,sqft,560099,1225000
5,4,3030,sqft,5200,sqft,560099,1250000
3,2,1400,sqft,8910,sqft,560082,530000
2,1.5,900,sqft,1,acre,560083,549755
3,2,2740,sqft,5000,sqft,560060,1278500
2,1,720,sqft,6693,sqft,560060,545000
4,2.5,1880,sqft,3300,sqft,560060,1050000
3,2.5,1681,sqft,3.97,acre,560060,650000
4,2,3325,sqft,6000,sqft,560083,1650000
5,3.5,4397,sqft,6800,sqft,560068,3400000
3,1.5,1540,sqft,6300,sqft,560082,689000
3,1,1530,sqft,0.31,acre,560060,435000
2,2,1015,sqft,2.02,acre,560062,468000
4,3,2340,sqft,5023,sqft,560082,780000
1,1,836,sqft,,,560062,605000
1,1,492,sqft,,,560082,205000
3,3,1880,sqft,2200,sqft,560082,999950
2,2,1570,sqft,3060,sqft,562130,849000
4,2.5,1806,sqft,5000,sqft,562110,745000
2,2,1595,sqft,,,562110,945000
2,2,1526,sqft,,,562110,893000
3,2.5,1346,sqft,1270,sqft,562110,899000
3,2,1600,sqft,8640,sqft,562110,877500
2,2,1170,sqft,0.42,acre,562110,655000
3,2.5,1660,sqft,1681,sqft,562135,690000
1,1,707,sqft,4.66,acre,562110,325000
3,2,1390,sqft,6656,sqft,562110,899950
3,2,2900,sqft,3800,sqft,562110,1305000
1,1,704,sqft,1,acre,562135,519950
3,4,2400,sqft,5563,sqft,562110,1460000
3,1,1120,sqft,4000,sqft,562110,985000
4,2,1710,sqft,3250,sqft,562110,1170000
3,2,1880,sqft,1751,sqft,562110,955000
3,3,1454,sqft,760,sqft,562135,890955
14,5,3884,sqft,4968,sqft,562135,1300000
3,1.5,2300,sqft,4100,sqft,562110,1125000
4,3,2520,sqft,3000,sqft,562110,1025000
4,3,3335,sqft,6000,sqft,562135,1325000
3,2.5,2118,sqft,2466,sqft,562110,837000
2,1,910,sqft,4800,sqft,562110,825000
4,1,2080,sqft,4845,sqft,562110,800000
2,1,2520,sqft,5000,sqft,562110,810000
3,2,1560,sqft,5056,sqft,562110,965000
2,1,1130,sqft,4388,sqft,561205,1180000
1,1,543,sqft,1.21,acre,561204,425000
1,1,620,sqft,6090,sqft,561204,524950
3,3,1720,sqft,8370,sqft,561203,865000
2,2,1015,sqft,2.02,acre,561204,500000
1,1,530,sqft,2500,sqft,561203,390800
4,2,1350,sqft,5300,sqft,561205,700000
3,2.5,1510,sqft,2656,sqft,561205,717500
1,1.5,1021,sqft,,,561203,1099900
3,1,1730,sqft,4200,sqft,561204,900000
2,2,3120,sqft,0.33,acre,561204,1050000
4,2.5,2172,sqft,3431,sqft,561204,975000
3,3.5,1410,sqft,1478,sqft,561204,740000
1,1,578,sqft,,,561203,379000
2,2,1350,sqft,4590,sqft,561205,960000
2,2,900,sqft,2041,sqft,561204,1650000
2,2.5,1865,sqft,,,561204,890000
2,2,1174,sqft,800,sqft,561204,779000
3,1.5,1250,sqft,0.27,acre,561204,552000
5,3,3590,sqft,6900,sqft,561204,1700000
3,2,1548,sqft,1139,sqft,561205,850000
4,3,3030,sqft,6960,sqft,561203,1119000
1,1,622,sqft,,,561203,387000
4,2,2245,sqft,7892,sqft,561203,775000
4,3.5,2627,sqft,5150,sqft,561203,1650000
4,2.5,3680,sqft,7000,sqft,561203,1880000
2,1,2170,sqft,6985,sqft,561204,950000
3,1,1600,sqft,3600,sqft,561203,1023000
2,2.5,2803,sqft,,,561203,2320000
3,1.5,2120,sqft,3880,sqft,561203,865000
3,2.5,1980,sqft,5000,sqft,561203,675000
3,2,1370,sqft,3060,sqft,561203,1270000
1,1,723,sqft,,,561203,315000
4,1.5,1300,sqft,4080,sqft,561203,975000
3,2,1060,sqft,5290,sqft,561203,599000
1,1,531,sqft,,,561203,396000
2,1,770,sqft,5772,sqft,561203,490000
4,3,2470,sqft,0.29,acre,561203,1180000
3,2.5,2260,sqft,4000,sqft,561203,1406000
2,1.5,1120,sqft,966,sqft,562122,605000
3,3.5,1936,sqft,1770,sqft,562129,1295000
2,2.5,1560,sqft,1263,sqft,562129,730000
2,2,1020,sqft,776,sqft,562129,605000
3,2,1100,sqft,2700,sqft,562122,645000
3,2,2120,sqft,6400,sqft,562114,1130000
2,2.5,1400,sqft,824,sqft,562114,1062500
2,2,1429,sqft,,,562114,855000
3,2.5,1320,sqft,1396,sqft,562122,835000
4,4.5,4790,sqft,5000,sqft,562114,1750000
3,1,1070,sqft,6535,sqft,562114,515000
2,2.5,1966,sqft,1412,sqft,562129,1495000
2,2,1146,sqft,1,acre,562114,675000
3,2.5,1047,sqft,680,sqft,562114,720000
2,1.5,1760,sqft,4000,sqft,562122,650000
2,2,1030,sqft,7200,sqft,562114,826500
3,2,1514,sqft,990,sqft,562114,915000
3,1.5,1520,sqft,7150,sqft,562114,720000
4,3.5,3360,sqft,6000,sqft,562122,1575000
3,2,1910,sqft,7500,sqft,562114,725000
2,2.5,1550,sqft,1131,sqft,562114,1051500
1,1,641,sqft,,,562114,349000
3,3,1190,sqft,850,sqft,562122,765000
4,2,2640,sqft,3840,sqft,562122,700000
2,1.5,938,sqft,,,562129,425000
3,3.5,2206,sqft,1500,sqft,562122,1116000
1,1,680,sqft,,,562129,355000
2,1,749,sqft,,,562122,489000
2,2,1353,sqft,,,562114,785000
1,1,250,sqft,250,acre,562119,159000
8,4,3136,sqft,8636,sqft,561101,1005000
2,2,1149,sqft,564,sqft,561201,730000
1,1,861,sqft,9600,sqft,562131,405000
4,2.5,2050,sqft,9555,sqft,562127,805000
2,2,1106,sqft,,,562131,700000
3,3.5,1930,sqft,6000,sqft,562127,600000
4,3,3090,sqft,0.34,acre,562131,210000
3,2,2437,sqft,6500,sqft,562131,1275000
2,2.5,1330,sqft,856,sqft,562131,699950
3,2,1680,sqft,6000,sqft,562127,910000
2,2,834,sqft,,,561101,552450
2,2,1112,sqft,1484,sqft,562131,675000
1,1,626,sqft,2.63,acre,561101,275000
2,1,1230,sqft,5000,sqft,562127,326000
4,2.5,2840,sqft,4480,sqft,562127,1200000
2,1.5,1115,sqft,745,sqft,562127,745000
4,2,2240,sqft,5043,sqft,561101,750000
3,3,1687,sqft,,,562127,946000
4,3,1900,sqft,2256,sqft,561101,1150000
3,3,1970,sqft,8540,sqft,562127,1395000
3,2.5,1512,sqft,1041,sqft,562127,760000
1,1,696,sqft,,,562131,449000
2,1.5,806,sqft,4001,sqft,561101,510000
2,2,1319,sqft,794,sqft,562127,838000
2,1,2300,sqft,8799,sqft,561101,525000
2,1.5,1127,sqft,5500,sqft,562131,1008000
4,2,2280,sqft,8000,sqft,562127,640000
2,2,1120,sqft,1168,sqft,562127,789500
4,3,1960,sqft,5200,sqft,562123,1270000
1,1,627,sqft,0.34,acre,562123,335000
2,2,1228,sqft,900,sqft,562123,900000
3,2,1800,sqft,3172,sqft,562111,1130000
1,1,883,sqft,,,562111,500000
4,1,1190,sqft,7320,sqft,562111,463900
5,5.5,5770,sqft,8226,sqft,562123,5000000
2,2.5,1710,sqft,962,sqft,562123,875000
2,2,968,sqft,656,sqft,562111,700000
2,1,790,sqft,5877,sqft,562111,532500
1,1,376,sqft,0.23,acre,562132,1000000
6,5.5,4510,sqft,0.28,acre,562123,2202718
3,2,1300,sqft,3914,sqft,562111,1100000
3,3.5,2106,sqft,1785,sqft,562123,1266000
3,2.5,1573,sqft,1243,sqft,562123,1099950
4,2,2870,sqft,2.27,acre,562123,703500
4,3.5,4006,sqft,5000,sqft,562111,2940000
2,1,1060,sqft,5666,sqft,562132,875000
1,1,562,sqft,,,562111,285000
3,2.5,1610,sqft,1426,sqft,562111,840000
2,3,1212,sqft,0.7,acre,562123,600000
4,2.5,2390,sqft,3570,sqft,562123,1350000
2,1,1080,sqft,6000,sqft,562123,950000
2,1,1350,sqft,6500,sqft,562123,850000
4,3.5,2795,sqft,6400,sqft,562123,1740000
2,2,1369,sqft,,,562123,720000
2,1,970,sqft,2714,sqft,562132,1075000
3,3.5,1820,sqft,1101,sqft,562111,1250000
3,2,1770,sqft,7242,sqft,562123,500000
6,4,3280,sqft,5650,sqft,562123,999950
3,1,1260,sqft,0.32,acre,562111,440000
4,2.5,1939,sqft,2499,sqft,562123,1025000
1,1,610,sqft,,,562132,679950
4,3,2200,sqft,5586,sqft,562132,874999
3,3.5,3036,sqft,,,562111,3250000
3,2.5,1861,sqft,,,562123,1395000
3,2,1650,sqft,5075,sqft,562130,750000
1,1,722,sqft,,,562130,299900
3,2,1260,sqft,2640,sqft,562123,615000
2,2.5,2714,sqft,,,562132,1735000
2,2,1020,sqft,776,sqft,562111,605000
3,3.5,1471,sqft,,,562123,799990
3,2.5,1500,sqft,1235,sqft,591106,1023500
2,1,1080,sqft,6000,sqft,591123,650000
4,2.5,1544,sqft,1562,sqft,591123,889000
2,2,1004,sqft,,,591123,320000
4,2,1470,sqft,4000,sqft,590016,460000
4,2,1680,sqft,2600,sqft,591123,930000
4,2,2420,sqft,3680,sqft,591102,948750
4,3.5,2011,sqft,2421,sqft,591103,1130000
2,2,896,sqft,,,591106,549250
2,2,1415,sqft,,,590018,445000
2,2.5,840,sqft,846,sqft,590014,629000
1,1,434,sqft,6600,sqft,590005,345000
4,2.5,2730,sqft,5724,sqft,591304,1175000
3,1.5,1350,sqft,2497,sqft,591248,599000
3,3.5,1740,sqft,2061,sqft,591303,840000
3,2.5,1940,sqft,2880,sqft,591212,1140000
4,1,1340,sqft,6000,sqft,591304,685000
2,2,1110,sqft,1650,sqft,591304,689000
3,2.5,1380,sqft,1550,sqft,591304,613000
3,2.5,1400,sqft,1001,sqft,591304,785000
3,2,2110,sqft,4000,sqft,591304,815000
1,1,557,sqft,0.88,acre,591304,399950
3,2,1830,sqft,5850,sqft,591304,835000
3,2,1480,sqft,5000,sqft,591304,780000
3,1.5,1550,sqft,8070,sqft,591304,835000
3,2,1670,sqft,8573,sqft,591304,620000
4,2.5,2890,sqft,3060,sqft,591223,1650000
3,3.5,1590,sqft,1781,sqft,591304,820000
1,1,630,sqft,0.4,acre,591304,439900
4,2,1440,sqft,4560,sqft,591230,760000
3,2.5,2529,sqft,3000,sqft,591232,1650000
3,3,1086,sqft,0.37,acre,591234,539950
3,2,1565,sqft,2500,sqft,591304,985000
2,2,916,sqft,,,591304,760000
3,7,2190,sqft,5504,sqft,591304,1868000
2,2,1400,sqft,3060,sqft,591304,530000
3,3.5,1352,sqft,1680,sqft,591240,886000
4,4,2030,sqft,5400,sqft,591315,1349000
3,2,1455,sqft,1,acre,591242,959822
5,4,3240,sqft,8820,sqft,591304,1825000
3,2,924,sqft,0.26,acre,591304,422000
2,2,1470,sqft,,,591265,825000
3,2,1758,sqft,1350,sqft,591304,1130000
3,2.5,1830,sqft,1175,sqft,591316,960000
2,1,1019,sqft,,,591248,640000
4,3,2970,sqft,4000,sqft,591212,1950000
3,3.5,1500,sqft,1182,sqft,591232,700000
3,2,2020,sqft,6000,sqft,591248,900000
3,3.5,2188,sqft,4920,sqft,591230,1700000
1,1,507,sqft,,,591248,460000
2,1.5,1131,sqft,1,acre,591212,699950
2,2,982,sqft,,,591265,705000
2,2,1889,sqft,9601,sqft,591212,2750000
2,1,1440,sqft,,,591248,699990
2,2,789,sqft,,,591230,475000
2,2,1131,sqft,6018,sqft,591316,575000
4,3,3300,sqft,7700,sqft,591265,1995000
4,2,2510,sqft,5460,sqft,591232,1025000
2,2.5,1580,sqft,0.31,acre,591232,1790000
1,2,966,sqft,,,591232,640000
1,1,703,sqft,0.51,acre,591240,350000
2,2,1220,sqft,755,sqft,591242,600000
9,5,3590,sqft,4680,sqft,591265,1100400
6,5.5,4299,sqft,6867,sqft,591265,3300000
1,1,900,sqft,,,591303,369950
3,2.5,1260,sqft,1252,sqft,591234,750000
2,2.5,1048,sqft,1048,sqft,591212,760000
4,1,1470,sqft,8520,sqft,591212,699999
1,1,1113,sqft,9830,sqft,591248,595000
2,2,1570,sqft,3250,sqft,591265,715000
3,2.5,2740,sqft,4800,sqft,591303,1375000
2,2.5,1470,sqft,780,sqft,591316,885000
4,2,1710,sqft,9660,sqft,591234,685000
3,2.5,1580,sqft,1372,sqft,591240,1095000
2,1,800,sqft,6946,sqft,591212,550000
3,1,980,sqft,3000,sqft,591242,500000
5,3.5,3700,sqft,7581,sqft,591232,2075000
4,2,2352,sqft,5000,sqft,591303,1450000
3,3,2320,sqft,9465,sqft,591316,675000
2,2,1503,sqft,6250,sqft,591240,729000
4,5.5,2410,sqft,9000,sqft,591240,1500000
2,1.5,950,sqft,1,acre,591234,1270000
3,1.5,1640,sqft,5196,sqft,591248,1060000
3,1.5,2440,sqft,4000,sqft,591240,1400000
1,1,594,sqft,0.39,acre,591265,405000
4,2,1480,sqft,6075,sqft,591232,665000
3,2.5,1220,sqft,1136,sqft,591240,618000
3,2,2740,sqft,8340,sqft,591315,1305000
3,3,2160,sqft,6710,sqft,591212,1300000
2,2,1400,sqft,802,sqft,591232,850000
3,2.5,2650,sqft,7548,sqft,591232,1112000
2,2,2735,sqft,0.3,acre,591230,871000
1,1,750,sqft,,,591303,420000
2,1,1201,sqft,5000,sqft,591212,605000
6,6,3488,sqft,2388,sqft,591316,1225000
4,2,1742,sqft,1.25,acre,591316,781000
4,2,2390,sqft,5535,sqft,591232,1195000
3,1,4018,sqft,5000,sqft,591248,517500
3,3.5,1530,sqft,3000,sqft,591230,1089000
1,1,600,sqft,,,591115,370000
5,3.5,3340,sqft,3600,sqft,591112,2500000
2,1,2060,sqft,6000,sqft,591102,525000
3,2.5,1650,sqft,2752,sqft,591102,675000
1,1,640,sqft,0.4,acre,591115,497000
2,2,1106,sqft,0.29,acre,591102,1470000
2,2,1200,sqft,8000,sqft,591102,519000
3,2.5,1390,sqft,1570,sqft,591102,575000
3,2,1759,sqft,1188,sqft,591102,890000
2,1.5,1690,sqft,5027,sqft,591115,779000
4,3.5,2191,sqft,4120,sqft,591104,1394600
3,2.5,1380,sqft,1022,sqft,591125,655000
2,2,877,sqft,2.63,acre,591104,415000
5,4,2754,sqft,3969,sqft,591104,956000
3,2,2770,sqft,7770,sqft,591109,700000
1,1,515,sqft,,,591153,309000
3,2,2029,sqft,9.2,acre,591115,685000
4,3,2560,sqft,9956,sqft,591147,890000
5,3.5,2966,sqft,1,acre,591102,1263500
3,2.5,1763,sqft,2498,sqft,591153,1135000
3,2.5,1550,sqft,7089,sqft,591104,1350000
2,1,830,sqft,6600,sqft,591121,645000
2,2,1019,sqft,,,591104,499000
1,1,696,sqft,,,591121,385000
5,3.5,5090,sqft,0.27,acre,591102,4325000
3,4.5,1460,sqft,1231,sqft,591102,700000
2,2,1036,sqft,656,sqft,591104,789950
1,1,854,sqft,,,591115,540000
3,3,1687,sqft,1,acre,591118,1035000
3,1.5,1430,sqft,8992,sqft,591153,438000
2,2,1960,sqft,7405,sqft,591112,580000
4,3.5,2720,sqft,7598,sqft,591153,1395000
1,1,706,sqft,0.46,acre,591102,520000
3,2,2600,sqft,4200,sqft,591153,1525000
3,2,1900,sqft,6093,sqft,591115,965000
2,1.5,1580,sqft,6120,sqft,591104,1300000
1,1,1270,sqft,5640,sqft,591104,915000
4,2.5,2320,sqft,9500,sqft,591115,1001000
3,1,910,sqft,0.35,acre,591115,650000
2,2,878,sqft,,,591115,675000
2,1,1915,sqft,5077,sqft,591115,725000
3,2,2462,sqft,3200,sqft,591102,1150000
4,3.5,2640,sqft,3062,sqft,591153,1750000
3,2.5,1670,sqft,1304,sqft,591118,875000
3,1,1090,sqft,7258,sqft,591121,630000
3,3.5,1621,sqft,987,sqft,591125,1085000
4,2,2591,sqft,6900,sqft,591112,800000
2,2,1400,sqft,,,591125,1295000
2,2.5,840,sqft,897,sqft,591147,612500
4,3.5,2910,sqft,3491,sqft,591104,2325000
2,1,1410,sqft,5000,sqft,591121,590000
2,1,770,sqft,4672,sqft,591121,560000
3,2,1900,sqft,6957,sqft,591102,1299000
3,2,2760,sqft,5195,sqft,591125,1256000
3,2,1290,sqft,2700,sqft,591102,925000
3,2,1111,sqft,,,591121,849000
2,2,850,sqft,6120,sqft,591115,889900
2,1.5,900,sqft,900,sqft,591104,568000
6,5,2667,sqft,4000,sqft,591125,900000
2,1.5,1320,sqft,6080,sqft,591115,810000
2,2,1370,sqft,,,591147,500000
2,1,1140,sqft,4920,sqft,591125,528000
3,1,1380,sqft,4080,sqft,591115,890000
3,2,1422,sqft,1405,sqft,591153,780000
2,2,1065,sqft,,,591104,430000
2,3,2943,sqft,3.06,acre,591115,1650000
3,2,1250,sqft,6000,sqft,591102,625000
3,2,2390,sqft,0.25,acre,591121,1150000
1,1,569,sqft,,,591118,400000
3,2,1680,sqft,5000,sqft,591102,1087500
1,1,683,sqft,,,591143,679000
1,1,627,sqft,,,590003,475000
2,2,840,sqft,1452,sqft,590010,645000
3,1.5,1880,sqft,6215,sqft,591108,749000
2,2,881,sqft,6000,sqft,590006,550000
2,1,850,sqft,4000,sqft,591109,778000
1,1,525,sqft,,,591109,375000
3,1.5,2170,sqft,3000,sqft,590016,1250000
2,1,1110,sqft,5413,sqft,591131,820000
4,3.5,3930,sqft,4000,sqft,590014,2925000
2,1,1047,sqft,,,591103,762500
1,1,653,sqft,,,591103,475000
3,1.5,1710,sqft,1250,sqft,590003,1000000
5,3,2120,sqft,1959,sqft,591124,750000
3,4,2360,sqft,5080,sqft,591128,1325000
4,4,2250,sqft,6600,sqft,591108,1070000
4,2,2320,sqft,6960,sqft,591108,1150000
4,3.5,3490,sqft,0.27,acre,590016,1480000
4,2.5,2500,sqft,4046,sqft,590001,1295000
2,1,792,sqft,,,590001,520000
2,2.5,1490,sqft,7547,sqft,590001,855000
3,2.5,1700,sqft,2125,sqft,590001,1475000
2,2,1261,sqft,978,sqft,590001,625000
4,2,2440,sqft,2168,sqft,590016,1060000
3,2.5,1420,sqft,2929,sqft,590001,750000
3,2,1380,sqft,815,sqft,590001,740000
3,2,1111,sqft,719,sqft,590001,849000
3,1.5,1920,sqft,6300,sqft,590003,865000
3,1.5,1220,sqft,2242,sqft,590001,660000
3,3,4010,sqft,8207,sqft,590005,3050000
2,2,1170,sqft,588,sqft,590016,644999
3,2.5,1600,sqft,695,sqft,590010,699900
1,1,760,sqft,,,590009,309000
2,1.5,1290,sqft,1748,sqft,590003,762500
2,1,980,sqft,3200,sqft,590003,800000
2,1.5,1022,sqft,,,590016,660000
2,1.5,1260,sqft,3858,sqft,590001,715000
5,2,2660,sqft,6400,sqft,591108,1125000
1,1,644,sqft,,,590006,350000
1,1,664,sqft,,,591109,305000
1,1,468,sqft,,,591156,275000
4,3,2680,sqft,6402,sqft,591108,2100000
4,2,1640,sqft,4400,sqft,591143,730000
3,2,2000,sqft,5632,sqft,590014,925000
2,2,1523,sqft,864,sqft,590005,639950
4,3,2430,sqft,9500,sqft,591109,520000
2,2,1199,sqft,1.06,acre,590006,375000
4,3,2160,sqft,6298,sqft,591109,980000
4,2.5,1354,sqft,,,591128,485000
1,1,738,sqft,,,590003,490000
2,2,1425,sqft,0.42,acre,591143,899000
6,7,4570,sqft,0.29,acre,591108,1950000
2,1.5,940,sqft,1740,sqft,590011,640000
3,3.5,1710,sqft,1728,sqft,591109,699000
3,2.5,1430,sqft,1102,sqft,591113,855000
3,3.5,1500,sqft,1274,sqft,591113,598800
3,1.5,1376,sqft,1169,sqft,590005,780000
4,3.5,4002,sqft,5000,sqft,591109,2100000
4,1,1600,sqft,0.27,acre,591143,652000
1,1,807,sqft,,,590010,380000
5,3,2055,sqft,4000,sqft,591113,1100000
1,1,647,sqft,7197,sqft,591128,377500
2,2,940,sqft,585,sqft,590016,579000
2,1.5,1150,sqft,1262,sqft,590014,590000
2,2.5,1459,sqft,887,sqft,590010,665000
4,2.5,1910,sqft,3000,sqft,590010,1625000
4,3,2297,sqft,7200,sqft,591103,783000
4,2.5,2320,sqft,5001,sqft,590016,820000
5,3.5,2387,sqft,5445,sqft,591143,1125000
5,3.5,3270,sqft,4080,sqft,590016,2000000
3,2.5,1530,sqft,1482,sqft,590014,899999
2,1,1150,sqft,6340,sqft,591128,845714
3,2,1237,sqft,4760,sqft,591131,747250
3,2.5,1760,sqft,1143,sqft,591143,850000
1,1,808,sqft,,,590014,560000
2,2,2720,sqft,4958,sqft,591108,720000
4,2,1345,sqft,2808,sqft,591108,962000
4,3,2600,sqft,6840,sqft,591103,1750000
3,2,2209,sqft,2734,sqft,591124,715000
2,2.5,950,sqft,1748,sqft,591103,695000
4,2.5,1530,sqft,3060,sqft,591103,675000
2,1,830,sqft,6180,sqft,590016,942000
3,2,1590,sqft,910,sqft,591124,910000
3,3,1524,sqft,513,sqft,591109,850000
4,3,1920,sqft,7455,sqft,590014,2095000
4,2,2660,sqft,5243,sqft,590014,1357000
3,2,2284,sqft,6395,sqft,590014,850000
3,2.5,1604,sqft,1040,sqft,591108,760000
4,4,2555,sqft,4000,sqft,590006,1500000
3,1.5,2460,sqft,0.35,acre,591124,1150000
3,2.5,2793,sqft,1734,sqft,590014,1732000
2,1.5,1540,sqft,4800,sqft,591124,751000
3,1,950,sqft,7320,sqft,591108,589000
3,1.5,1720,sqft,0.33,acre,590005,426000
2,2,1470,sqft,7443,sqft,590003,707000
5,2.5,3500,sqft,0.33,acre,590006,875000
2,1.5,984,sqft,,,590016,499999
3,2.5,1570,sqft,1362,sqft,591128,901000
1,1,700,sqft,,,591128,647201
2,2,1188,sqft,0.43,acre,591108,450000
3,2.5,2570,sqft,0.28,acre,591108,1175000
3,2.5,1631,sqft,1485,sqft,591215,1049950
3,2,1596,sqft,0.64,acre,591211,505000
2,2.5,820,sqft,1293,sqft,591213,525000
3,2.5,1610,sqft,1500,sqft,591241,875000
1,1,812,sqft,,,591226,480000
3,2,1425,sqft,729,sqft,591215,759999
2,2.5,1086,sqft,2068,sqft,591214,884950
2,2.5,1043,sqft,990,sqft,591222,690000
3,2,1440,sqft,4239,sqft,591215,1195000
1,1,590,sqft,1549,sqft,591241,435000
2,2,1152,sqft,,,591263,1325000
4,2,2040,sqft,4178,sqft,591216,1175000
3,2,2092,sqft,,,591213,2000000
3,1,1780,sqft,5000,sqft,591237,975000
3,2.5,3560,sqft,5000,sqft,591201,1575000
2,2.5,1475,sqft,3753,sqft,591201,945000
4,2.5,1890,sqft,3000,sqft,591201,668000
4,2,2790,sqft,6250,sqft,591222,930000
4,3.5,2600,sqft,3900,sqft,591247,2225000
3,2,1060,sqft,8910,sqft,591287,575000
3,1,2180,sqft,0.25,acre,591201,720000
2,2,1761,sqft,,,591214,665000
3,2,1379,sqft,3353,sqft,591238,729950
3,1.5,2550,sqft,4080,sqft,591219,958748
4,3.5,3815,sqft,3960,sqft,591237,2895000
4,2,2634,sqft,7475,sqft,591241,1500000
1,1,540,sqft,0.35,acre,591215,335000
3,3.5,3064,sqft,,,591226,2450000
2,1,860,sqft,4800,sqft,591247,565000
3,2.5,1690,sqft,7200,sqft,591215,807500
3,3.5,1800,sqft,1545,sqft,591242,750000
2,2,1071,sqft,,,591226,605000
2,1,807,sqft,,,591216,525000
3,2.5,1350,sqft,662,sqft,591237,899000
4,2,2900,sqft,4700,sqft,591213,1275000
3,3,1880,sqft,2200,sqft,591222,999950
1,1,677,sqft,0.68,acre,591247,270000
1,1,703,sqft,,,591244,498000
1,1,527,sqft,,,591214,399000
1,1,820,sqft,5100,sqft,591226,530000
3,2.5,1360,sqft,1248,sqft,591226,700000
4,3.5,2600,sqft,4000,sqft,591213,1950000
4,3.5,2852,sqft,3178,sqft,591228,1715000
3,3.5,1370,sqft,1125,sqft,591237,619000
3,1.5,2000,sqft,4800,sqft,591229,1400000
3,2,1096,sqft,,,591287,849950
3,3.5,3380,sqft,7531,sqft,591215,1599500
3,2.5,1616,sqft,,,591241,990000
3,3,1620,sqft,5760,sqft,591287,1058000
2,2,970,sqft,,,591211,634400
1,2,1009,sqft,,,591244,525000
3,2,2270,sqft,7920,sqft,591211,1550000
3,1,1200,sqft,9180,sqft,591215,500000
2,2,1225,sqft,960,sqft,591213,725000
2,2,1081,sqft,,,591216,620000
3,2,1380,sqft,8580,sqft,591229,775000
2,1,1200,sqft,6200,sqft,591226,1025100
2,2,1620,sqft,3090,sqft,591222,835000
3,2,2950,sqft,5350,sqft,591241,1500000
1,1,513,sqft,,,591247,315000
